Date,Time,Period,Ticker,Close,EM,Up,Down
"5/30/2026","07:43:49 AM","weekly","ESM","7,590.75","94.92","7,685.75","7,495.75"
"5/30/2026","07:43:49 AM","weekly","NQM","30,389.50","639.833","31,029.25","29,749.75"
"5/30/2026","07:43:49 AM","weekly","SPY","756.48","0.00","756.48","756.48"
"5/30/2026","07:43:49 AM","weekly","QQQ","737.65","0.00","737.65","737.65"
"5/30/2026","07:43:49 AM","weekly","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","07:43:49 AM","weekly","AAPL","311.35","0.00","311.35","311.35"
"5/30/2026","07:43:49 AM","weekly","AMD","515.13","44.64","559.77","470.49"
"5/30/2026","07:43:49 AM","weekly","AMZN","270.48","0.00","270.48","270.48"
"5/30/2026","07:43:49 AM","weekly","GOOGL","380.57","0.00","380.57","380.57"
"5/30/2026","07:43:49 AM","weekly","META","632.43","0.00","632.43","632.43"
"5/30/2026","07:43:49 AM","weekly","MSFT","449.99","0.00","449.99","449.99"
"5/30/2026","07:43:49 AM","weekly","NVDA","212.49","0.00","212.49","212.49"
"5/30/2026","07:43:49 AM","weekly","TSLA","434.35","19.815","454.16","414.54"
"5/30/2026","07:43:49 AM","weekly","COIN","188.30","14.027","202.33","174.27"
"5/30/2026","07:43:49 AM","weekly","HOOD","94.01","7.838","101.85","86.17"
"5/30/2026","07:43:49 AM","weekly","IWM","290.43","6.476","296.91","283.95"
"5/30/2026","07:43:49 AM","weekly","NDX","30,333.18","639.833","30,973.01","29,693.35"
"5/30/2026","07:43:49 AM","weekly","NFLX","86.01","2.973","88.98","83.04"
"5/30/2026","07:43:49 AM","weekly","SMH","599.59","34.107","633.70","565.48"
"5/30/2026","07:43:49 AM","weekly","PLTR","156.38","9.983","166.36","146.40"
"5/30/2026","07:44:17 AM","weekly","ESM","7,590.75","94.92","7,685.75","7,495.75"
"5/30/2026","07:44:17 AM","weekly","NQM","30,389.50","639.833","31,029.25","29,749.75"
"5/30/2026","07:44:17 AM","weekly","SPY","756.48","0.00","756.48","756.48"
"5/30/2026","07:44:17 AM","weekly","QQQ","737.65","0.00","737.65","737.65"
"5/30/2026","07:44:17 AM","weekly","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","07:44:17 AM","weekly","AAPL","311.35","0.00","311.35","311.35"
"5/30/2026","07:44:17 AM","weekly","AMD","515.13","44.64","559.77","470.49"
"5/30/2026","07:44:17 AM","weekly","AMZN","270.48","0.00","270.48","270.48"
"5/30/2026","07:44:17 AM","weekly","GOOGL","380.57","0.00","380.57","380.57"
"5/30/2026","07:44:17 AM","weekly","META","632.43","0.00","632.43","632.43"
"5/30/2026","07:44:17 AM","weekly","MSFT","449.99","0.00","449.99","449.99"
"5/30/2026","07:44:17 AM","weekly","NVDA","212.49","0.00","212.49","212.49"
"5/30/2026","07:44:17 AM","weekly","TSLA","434.35","19.815","454.16","414.54"
"5/30/2026","07:44:17 AM","weekly","COIN","188.30","14.027","202.33","174.27"
"5/30/2026","07:44:17 AM","weekly","HOOD","94.01","7.838","101.85","86.17"
"5/30/2026","07:44:17 AM","weekly","IWM","290.43","6.476","296.91","283.95"
"5/30/2026","07:44:17 AM","weekly","NDX","30,333.18","639.833","30,973.01","29,693.35"
"5/30/2026","07:44:17 AM","weekly","NFLX","86.01","2.973","88.98","83.04"
"5/30/2026","07:44:17 AM","weekly","SMH","599.59","34.107","633.70","565.48"
"5/30/2026","07:44:17 AM","weekly","PLTR","156.38","9.983","166.36","146.40"
